seed_idx,strategy,num_queries,mse,shift_idx,A_t,B_t
0,Z_Uncertainty,15,0.218375563621521,1,6.0,6.0
0,Z_Uncertainty,20,0.27107784152030945,1,6.0,6.0
0,Z_Uncertainty,25,0.12507514655590057,1,6.0,6.0
0,Z_Uncertainty,30,0.11808624118566513,1,6.0,6.0
0,Z_Uncertainty,35,0.11741041392087936,1,6.0,6.0
0,Z_Uncertainty,40,0.12435749918222427,1,6.0,6.0
0,Z_Uncertainty,45,0.13220910727977753,1,6.0,6.0
0,Z_Uncertainty,50,0.1229405477643013,1,6.0,6.0
0,Z_Uncertainty,55,0.13053934276103973,1,6.0,6.0
0,Z_Uncertainty,60,0.14385925233364105,1,6.0,6.0
0,CME_Uncertainty,0,0.8779587745666504,2,5.0,3.333
0,CME_Uncertainty,5,0.5553826689720154,2,5.0,3.333
0,CME_Uncertainty,10,0.22116735577583313,2,5.0,3.333
0,CME_Uncertainty,15,0.16928668320178986,2,5.0,3.333
0,CME_Uncertainty,20,0.16614091396331787,2,5.0,3.333
0,CME_Uncertainty,25,0.14285822212696075,2,5.0,3.333
0,CME_Uncertainty,30,0.1406199336051941,2,5.0,3.333
0,CME_Uncertainty,35,0.1500062793493271,2,5.0,3.333
0,CME_Uncertainty,40,0.15538083016872406,2,5.0,3.333
0,CME_Uncertainty,45,0.1548769772052765,2,5.0,3.333
0,CME_Uncertainty,50,0.15319350361824036,2,5.0,3.333
0,CME_Uncertainty,55,0.153212308883667,2,5.0,3.333
0,CME_Uncertainty,60,0.1466139853000641,2,5.0,3.333
0,Random,0,0.8779587745666504,2,5.0,3.333
0,Random,5,0.5553826689720154,2,5.0,3.333
0,Random,10,0.1673135906457901,2,5.0,3.333
0,Random,15,0.24731002748012543,2,5.0,3.333
0,Random,20,0.36028996109962463,2,5.0,3.333
0,Random,25,0.23703445494174957,2,5.0,3.333
0,Random,30,0.22333966195583344,2,5.0,3.333
0,Random,35,0.2280481606721878,2,5.0,3.333
0,Random,40,0.1994013637304306,2,5.0,3.333
0,Random,45,0.1922682374715805,2,5.0,3.333
0,Random,50,0.16533900797367096,2,5.0,3.333
0,Random,55,0.1809779703617096,2,5.0,3.333
0,Random,60,0.18828950822353363,2,5.0,3.333
0,EER,0,0.8779587745666504,2,5.0,3.333
0,EER,5,0.47189709544181824,2,5.0,3.333
0,EER,10,0.4167047142982483,2,5.0,3.333
0,EER,15,0.36316055059432983,2,5.0,3.333
0,EER,20,0.44597530364990234,2,5.0,3.333
0,EER,25,0.6100473999977112,2,5.0,3.333
0,EER,30,0.4674891233444214,2,5.0,3.333
